fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,coche,0.8434903025627136,1,1321,312,1398,371,,,,,,,
1,coche,0.4914795160293579,2,1231,313,1279,343,,,,,,,
1,coche,0.3492680490016937,3,1281,318,1320,343,,,,,,,
1,coche,0.29751139879226685,4,1274,315,1312,343,,,,,,,
2,coche,0.8148619532585144,1,1320,312,1397,371,,,,,,,
2,coche,0.47744518518447876,2,1231,313,1278,342,,,,,,,
2,coche,0.3263819217681885,3,1281,318,1320,343,,,,,,,
2,coche,0.286329984664917,4,1272,315,1310,343,,,,,,,
3,coche,0.8184184432029724,1,1319,312,1396,371,,,,,,,
3,coche,0.44420966506004333,2,1231,313,1277,342,,,,,,,
3,coche,0.3159672021865845,3,1281,318,1320,343,,,,,,,
3,coche,0.2731153964996338,4,1273,315,1310,342,,,,,,,
4,coche,0.8376427292823792,1,1317,312,1395,371,,,,,,,
4,coche,0.4852163791656494,2,1231,314,1277,342,,,,,,,
4,coche,0.28777679800987244,3,1281,317,1320,343,,,,,,,
4,coche,0.27621209621429443,4,1273,315,1311,343,,,,,,,
5,coche,0.8167283535003662,1,1316,312,1394,371,,,,,,,
5,coche,0.4523780941963196,2,1232,314,1279,343,,,,,,,
5,coche,0.2704836130142212,3,1281,317,1320,343,,,,,,,
5,coche,0.24805162847042084,4,1272,315,1310,343,,,,,,,
6,coche,0.8078848123550415,1,1316,312,1392,370,,,,,,,
6,coche,0.407726913690567,2,1232,313,1278,342,,,,,,,
6,coche,0.24594585597515106,3,1282,317,1321,343,,,,,,,
6,coche,0.23067545890808105,4,1271,315,1309,343,,,,,,,
7,coche,0.7956901788711548,1,1315,312,1391,370,,,,,,,
7,coche,0.4523327350616455,2,1231,314,1278,343,,,,,,,
7,coche,0.2478947937488556,3,1282,317,1321,343,,,,,,,
7,coche,0.24065710604190826,4,1270,315,1307,343,,,,,,,
8,coche,0.7870385646820068,1,1314,312,1389,369,,,,,,,
8,coche,0.43581685423851013,2,1229,314,1276,343,,,,,,,
8,coche,0.2404978722333908,3,1282,317,1320,343,,,,,,,
8,coche,0.23371949791908264,4,1271,315,1308,343,,,,,,,
9,coche,0.781374990940094,1,1313,312,1387,368,,,,,,,
9,coche,0.4246380031108856,2,1229,315,1274,343,,,,,,,
9,coche,0.23227494955062866,3,1282,318,1320,343,,,,,,,
9,coche,0.2276633083820343,4,1273,316,1309,343,,,,,,,
10,coche,0.8051082491874695,1,1312,312,1385,368,,,,,,,
10,coche,0.4186268150806427,2,1228,315,1273,343,,,,,,,
10,coche,0.2583765983581543,3,1283,318,1322,345,,,,,,,
10,coche,0.22232331335544586,4,1274,316,1310,343,,,,,,,
11,coche,0.8014352321624756,1,1311,312,1384,367,,,,,,,
11,coche,0.4034176766872406,2,1227,315,1272,343,,,,,,,
11,coche,0.2107677310705185,4,1273,316,1310,343,,,,,,,
12,coche,0.7824573516845703,1,1310,312,1383,368,,,,,,,
12,coche,0.4092770516872406,2,1226,315,1271,343,,,,,,,
12,coche,0.21360842883586884,4,1271,316,1309,343,,,,,,,
13,coche,0.7879356741905212,1,1309,312,1382,368,,,,,,,
13,coche,0.3224543035030365,2,1225,315,1267,342,,,,,,,
13,coche,0.201356902718544,4,1269,315,1308,343,,,,,,,
14,coche,0.7943407297134399,1,1308,312,1381,368,,,,,,,
14,coche,0.27789822220802307,2,1225,315,1265,341,,,,,,,
14,coche,0.19095611572265625,4,1268,315,1309,343,,,,,,,
15,coche,0.7785031199455261,1,1307,312,1380,368,,,,,,,
15,coche,0.3011309802532196,2,1224,315,1265,341,,,,,,,
15,coche,0.15834738314151764,4,1269,314,1311,343,,,,,,,
16,coche,0.7746706604957581,1,1307,312,1377,367,,,,,,,
16,coche,0.3061768710613251,2,1224,315,1264,341,,,,,,,
16,coche,0.15660834312438965,4,1270,313,1312,343,,,,,,,
17,coche,0.781658411026001,1,1306,313,1376,367,,,,,,,
17,coche,0.31697744131088257,2,1225,315,1264,341,,,,,,,
17,coche,0.17639432847499847,4,1270,313,1313,343,,,,,,,
18,coche,0.7763051390647888,1,1306,313,1375,367,,,,,,,
18,coche,0.2713293731212616,2,1225,315,1263,341,,,,,,,
18,coche,0.16264209151268005,4,1270,313,1314,343,,,,,,,
19,coche,0.7695615291595459,1,1306,314,1374,367,,,,,,,
19,coche,0.2755415141582489,2,1225,316,1262,341,,,,,,,
